date,position,y_pred,p_value,xau_t1,strategy_ret,equity
2014-11-11,0.0,0.0,1.0,-0.0012113842593084456,0.0,1.0
2014-11-12,0.0,0.0,1.0,-0.0004773190529157034,0.0,1.0
2014-11-13,0.0,0.0,1.0,0.022366834720979334,0.0,1.0
2014-11-14,0.0,0.0,1.0,-0.0013036808479327533,0.0,1.0
2014-11-17,0.0,0.0,1.0,0.008756079527651117,0.0,1.0
2014-11-18,0.0,0.0,1.0,-0.011999509587508506,0.0,1.0
2014-11-19,0.0,0.0,1.0,0.007715083744884943,0.0,1.0
2014-11-20,0.0,0.0,1.0,0.007691257516421857,0.0,1.0
2014-11-21,0.0,0.0,1.0,-0.0027378698270217328,0.0,1.0
2014-11-24,0.0,0.0,1.0,0.002018234120828133,0.0,1.0
2014-11-25,0.0,0.0,1.0,-0.0018137882652080606,0.0,1.0
2014-11-26,0.0,0.0,1.0,-0.005118255874809741,0.0,1.0
2014-11-27,0.0,0.0,1.0,-0.021545559944549986,0.0,1.0
2014-11-28,0.0,0.0,1.0,0.03744372060342993,0.0,1.0
2014-12-01,0.0,0.0,1.0,-0.011169044683560614,0.0,1.0
2014-12-02,0.0,0.0,1.0,0.009290026921241257,0.0,1.0
2014-12-03,0.0,0.0,1.0,-0.0027835842857477644,0.0,1.0
2014-12-04,0.0,0.0,1.0,-0.011090574559971422,0.0,1.0
2014-12-05,0.0,0.0,1.0,0.008858853549806867,0.0,1.0
2014-12-08,0.0,0.0,1.0,0.022938760871876518,0.0,1.0
2014-12-09,0.0,0.0,1.0,-0.004301655395363646,0.0,1.0
2014-12-10,0.0,0.0,1.0,0.0011056966277118718,0.0,1.0
2014-12-11,0.0,0.0,1.0,-0.003906809756503371,0.0,1.0
2014-12-12,0.0,0.0,1.0,-0.025032208387576915,0.0,1.0
2014-12-15,0.0,0.0,1.0,0.002580368049037496,0.0,1.0
2014-12-16,0.0,0.0,1.0,-0.007978632634739746,0.0,1.0
2014-12-17,0.0,0.0,1.0,0.0100306869826019,0.0,1.0
2014-12-18,0.0,0.0,1.0,-0.0021880852775710835,0.0,1.0
2014-12-19,0.0,0.0,1.0,-0.016277716983439383,0.0,1.0
2014-12-22,0.0,0.0,1.0,-0.0014643175863238156,0.0,1.0
2014-12-23,0.0,0.0,1.0,0.00015344733520450404,0.0,1.0
2014-12-24,0.0,0.0,1.0,0.0004451260488016473,0.0,1.0
2014-12-25,0.0,0.0,1.0,0.01758169020378375,0.0,1.0
2014-12-26,0.0,0.0,1.0,0.003847248251439339,0.0,1.0
2014-12-30,0.0,0.0,1.0,-0.014144457694400536,0.0,1.0
2014-12-31,0.0,0.0,1.0,0.0011310233661276925,0.0,1.0
2015-01-01,0.0,0.0,0.6046801008151083,0.0017948041263498027,0.0,1.0
2015-01-02,0.0,0.0,0.6046801008151083,0.016340276419559707,0.0,1.0
2015-01-05,0.0,0.0,0.6046801008151083,0.008803974428056804,0.0,1.0
2015-01-06,0.0,0.0,0.6046801008151083,-0.0047463840710149086,0.0,1.0
2015-01-07,0.0,0.0,0.6046801008151083,-0.002001078930215172,0.0,1.0
2015-01-08,0.0,0.0,0.6046801008151083,0.01133388009029801,0.0,1.0
2015-01-09,0.0,0.0,0.6046801008151083,0.008581771032930341,0.0,1.0
2015-01-12,0.0,0.0,0.6046801008151083,-0.0024023705599258705,0.0,1.0
2015-01-13,0.0,0.0,0.6046801008151083,-0.0003999293407437321,0.0,1.0
2015-01-14,0.0,0.0,0.6046801008151083,0.026136819371861186,0.0,1.0
2015-01-15,0.0,0.0,0.6046801008151083,0.01386118007063697,0.0,1.0
2015-01-16,0.0,0.0,0.6046801008151083,-0.0014808125013763274,0.0,1.0
2015-01-19,0.0,0.0,0.6046801008151083,0.012228262750053176,0.0,1.0
2015-01-20,0.0,0.0,0.6046801008151083,0.0015153241146093066,0.0,1.0
2015-01-21,0.0,0.0,0.6046801008151083,0.004699715424727913,0.0,1.0
2015-01-22,0.0,0.0,0.6046801008151083,-0.005471949923977704,0.0,1.0
2015-01-23,0.0,0.0,0.6046801008151083,-0.01023518115437394,0.0,1.0
2015-01-26,0.0,0.0,0.6046801008151083,0.00972694129888918,0.0,1.0
2015-01-27,0.0,0.0,0.6046801008151083,-0.007695122632187967,0.0,1.0
2015-01-28,0.0,0.0,0.6046801008151083,-0.021091943992313844,0.0,1.0
2015-01-29,0.0,0.0,0.6046801008151083,0.020513905622128625,0.0,1.0
2015-01-30,0.0,0.0,0.6046801008151083,-0.003974833468426198,0.0,1.0
2015-02-02,0.0,0.0,0.6392549356991598,-0.014017826227334496,0.0,1.0
2015-02-03,0.0,0.0,0.6392549356991598,0.0068914164172433345,0.0,1.0
2015-02-04,0.0,0.0,0.6392549356991598,-0.0038301454635911725,0.0,1.0
2015-02-05,0.0,0.0,0.6392549356991598,-0.024305773737824943,0.0,1.0
2015-02-06,0.0,0.0,0.6392549356991598,0.004054690905086034,0.0,1.0
2015-02-09,0.0,0.0,0.6392549356991598,-0.0045723603984733074,0.0,1.0
2015-02-10,0.0,0.0,0.6392549356991598,-0.012554624025507444,0.0,1.0
2015-02-11,0.0,0.0,0.6392549356991598,0.002103970205060257,0.0,1.0
2015-02-12,0.0,0.0,0.6392549356991598,0.006837948398291438,0.0,1.0
2015-02-13,0.0,0.0,0.6392549356991598,0.0019089643307657056,0.0,1.0
2015-02-16,0.0,0.0,0.6392549356991598,-0.018187333178642184,0.0,1.0
2015-02-17,0.0,0.0,0.6392549356991598,0.003359851306249162,0.0,1.0
2015-02-18,0.0,0.0,0.6392549356991598,-0.006906796721576569,0.0,1.0
2015-02-19,0.0,0.0,0.6392549356991598,-0.002407928590606012,0.0,1.0
2015-02-20,0.0,0.0,0.6392549356991598,-0.0001639832039330713,0.0,1.0
2015-02-23,0.0,0.0,0.6392549356991598,-0.0012271557549059509,0.0,1.0
2015-02-24,0.0,0.0,0.6392549356991598,0.0035971416267184253,0.0,1.0
2015-02-25,0.0,0.0,0.6392549356991598,0.003588001905556304,0.0,1.0
2015-02-26,0.0,0.0,0.6392549356991598,0.003524438467604085,0.0,1.0
2015-02-27,0.0,0.0,0.6392549356991598,-0.005475866840699339,0.0,1.0
2015-03-02,0.0,0.0,0.3710752282774421,-0.0019385174573578468,0.0,1.0
2015-03-03,0.0,0.0,0.3710752282774421,-0.004123709985248247,0.0,1.0
2015-03-04,0.0,0.0,0.3710752282774421,-0.0020924178123697956,0.0,1.0
2015-03-05,0.0,0.0,0.3710752282774421,-0.024688266846573548,0.0,1.0
2015-03-06,0.0,0.0,0.3710752282774421,-0.000612748313808531,0.0,1.0
2015-03-09,0.0,0.0,0.3710752282774421,-0.003999873908785645,0.0,1.0
2015-03-10,0.0,0.0,0.3710752282774421,-0.005940758849209082,0.0,1.0
2015-03-11,0.0,0.0,0.3710752282774421,-0.0009251687093838612,0.0,1.0
2015-03-12,0.0,0.0,0.3710752282774421,0.004045429896639696,0.0,1.0
2015-03-13,0.0,0.0,0.3710752282774421,-0.003912377570186365,0.0,1.0
2015-03-16,0.0,0.0,0.3710752282774421,-0.004473545990957284,0.0,1.0
2015-03-17,0.0,0.0,0.3710752282774421,0.015936600406096346,0.0,1.0
2015-03-18,0.0,0.0,0.3710752282774421,0.0028328676771973704,0.0,1.0
2015-03-19,0.0,0.0,0.3710752282774421,0.010066220301173878,0.0,1.0
2015-03-20,0.0,0.0,0.3710752282774421,0.005836585354511037,0.0,1.0
2015-03-23,0.0,0.0,0.3710752282774421,0.002132961704499614,0.0,1.0
2015-03-24,0.0,0.0,0.3710752282774421,0.0022073156201400934,0.0,1.0
2015-03-25,0.0,0.0,0.3710752282774421,0.007824275876711972,0.0,1.0
2015-03-26,0.0,0.0,0.3710752282774421,-0.004553672157717514,0.0,1.0
2015-03-27,0.0,0.0,0.3710752282774421,-0.010758270191003838,0.0,1.0
2015-03-30,0.0,0.0,0.3710752282774421,-0.0022720376136211584,0.0,1.0
2015-03-31,0.0,0.0,0.3710752282774421,0.01700758202942243,0.0,1.0
2015-04-01,0.0,0.0,0.7446847325583925,-0.003193704057681934,0.0,1.0
2015-04-02,0.0,0.0,0.7446847325583925,0.003306429814487366,0.0,1.0
2015-04-03,0.0,0.0,0.7446847325583925,0.01062316463719526,0.0,1.0
2015-04-06,0.0,0.0,0.7446847325583925,-0.006446803799212475,0.0,1.0
2015-04-07,0.0,0.0,0.7446847325583925,-0.005438002567302647,0.0,1.0
2015-04-08,0.0,0.0,0.7446847325583925,-0.0063631519968190275,0.0,1.0
2015-04-09,0.0,0.0,0.7446847325583925,0.010847862324097512,0.0,1.0
2015-04-10,0.0,0.0,0.7446847325583925,-0.007364601423665462,0.0,1.0
2015-04-13,0.0,0.0,0.7446847325583925,-0.004684500061188146,0.0,1.0
2015-04-14,0.0,0.0,0.7446847325583925,0.007868396790722265,0.0,1.0
2015-04-15,0.0,0.0,0.7446847325583925,-0.0035797297723521027,0.0,1.0
2015-04-16,0.0,0.0,0.7446847325583925,0.005120380181672601,0.0,1.0
